repeats_stat,genome_stat
0.035,0.007252795925146717
0.041,0.009633484663935333
0.042,0.0097442143727162
0.037,0.009190565828811871
0.04,0.00880301184807884
0.037,0.00841545786734581
0.038,0.008858376702469273
0.038,0.009135200974421437
0.039,0.008138633595393643
0.04,0.010076403499058797
0.038,0.009079836120031005
0.037,0.008747646993688407
0.036,0.008636917284907541
0.041,0.008858376702469273
0.039,0.009190565828811871
0.038,0.009467390100764035
0.041,0.008581552430517107
0.04,0.009301295537592735
0.038,0.008692282139297973
0.042,0.008858376702469273
0.038,0.009522754955154467
0.037,0.010463957479791829
0.032,0.010408592625401395
0.037,0.009578119809544901
0.035,0.008692282139297973
0.04,0.009799579227106633
0.037,0.008027903886612777
0.04,0.009633484663935333
0.036,0.008969106411250139
0.037,0.008858376702469273
0.04,0.00824936330417451
0.04,0.00824936330417451
0.041,0.010021038644668365
0.04,0.008526187576126675
0.035,0.010242498062230097
0.035,0.00935666039198317
0.037,0.008470822721736241
0.038,0.008360093012955375
0.039,0.009024471265640571
0.041,0.00935666039198317
0.04,0.010353227771010963
0.04,0.009079836120031005
0.041,0.009079836120031005
0.037,0.009799579227106633
0.037,0.009854944081497065
0.038,0.009688849518325767
0.037,0.008083268741003211
0.041,0.009522754955154467
0.044,0.009467390100764035
0.04,0.009965673790277931
0.044,0.009578119809544901
0.043,0.008360093012955375
0.035,0.010131768353449231
0.034,0.008636917284907541
0.04,0.009301295537592735
0.042,0.008692282139297973
0.035,0.010021038644668365
0.04,0.00880301184807884
0.035,0.010076403499058797
0.035,0.008692282139297973
0.039,0.008581552430517107
0.04,0.009467390100764035
0.04,0.00824936330417451
0.037,0.008083268741003211
0.037,0.010297862916620529
0.039,0.008304728158564943
0.032,0.008470822721736241
0.043,0.009245930683202303
0.039,0.008913741556859705
0.04,0.009910308935887499
0.037,0.009854944081497065
0.041,0.009079836120031005
0.038,0.009910308935887499
0.035,0.008636917284907541
0.042,0.010408592625401395
0.036,0.009965673790277931
0.036,0.00935666039198317
0.041,0.008581552430517107
0.041,0.010906876314915291
0.039,0.008360093012955375
0.042,0.009578119809544901
0.034,0.008692282139297973
0.036,0.010187133207839663
0.04,0.009190565828811871
0.034,0.010353227771010963
0.039,0.010131768353449231
0.04,0.008747646993688407
0.034,0.008636917284907541
0.039,0.009024471265640571
0.039,0.009965673790277931
0.039,0.00935666039198317
0.038,0.008858376702469273
0.038,0.00786180932344148
0.037,0.009024471265640571
0.036,0.009024471265640571
0.036,0.009965673790277931
0.04,0.010242498062230097
0.041,0.00880301184807884
0.04,0.008138633595393643
0.039,0.00935666039198317
