repeats_stat,genome_stat
0.805,0.7448233861144945
0.828,0.7372384010630052
0.815,0.7446572915513232
0.824,0.7374598604805669
0.838,0.7368508470822722
0.841,0.741944413686192
0.814,0.736961576791053
0.815,0.740283468054479
0.823,0.7440482781530284
0.802,0.7396190898017938
0.828,0.7429963459196103
0.841,0.7376813198981287
0.836,0.7404495626176503
0.842,0.7416122245598494
0.82,0.7416675894142398
0.816,0.7375705901893478
0.824,0.7367954822278817
0.83,0.7365186579559295
0.829,0.7359650094120253
0.838,0.7495293987376813
0.821,0.7413354002878972
0.841,0.7401727383456982
0.832,0.7344701583434835
0.829,0.7439375484442476
0.827,0.7351345365961688
0.821,0.740283468054479
0.792,0.7384010630052043
0.835,0.7411139408703356
0.826,0.7427195216476581
0.843,0.7449341158232754
0.812,0.7367954822278817
0.837,0.7446019266969328
0.825,0.747314804562064
0.829,0.7458753183479128
0.838,0.7427748865020485
0.805,0.7353006311593401
0.819,0.7441590078618093
0.832,0.7387886169859373
0.817,0.7401727383456982
0.81,0.7437714538810762
0.821,0.7471487099988927
0.838,0.7377920496069096
0.82,0.7453770346583989
0.836,0.7474255342708449
0.823,0.7438268187354667
0.825,0.7387886169859373
0.833,0.7443251024249806
0.813,0.7426087919388772
0.831,0.7340826043627505
0.799,0.7358542797032444
0.823,0.7404495626176503
0.827,0.7413354002878972
0.819,0.7457092237847415
0.803,0.7390654412578895
0.831,0.7440482781530284
0.813,0.7475362639796257
0.806,0.7405602923264312
0.807,0.7453216698040084
0.836,0.7442143727161997
0.822,0.7391208061122799
0.836,0.746927250581331
0.831,0.742331967666925
0.825,0.7375705901893478
0.827,0.7381242387332522
0.812,0.7415568597054589
0.827,0.7378474144613
0.833,0.7447126564057136
0.809,0.7421658731037537
0.822,0.7434946296091242
0.819,0.7403388329088695
0.855,0.7414461299966781
0.835,0.7436607241722955
0.814,0.73657402281032
0.826,0.738733252131547
0.845,0.7455984940759606
0.828,0.7395637249474034
0.833,0.7407263868896025
0.818,0.7340826043627505
0.842,0.7335289558188463
0.811,0.7436607241722955
0.827,0.7397298195105747
0.833,0.7380688738788617
0.823,0.7440482781530284
0.837,0.7331414018381132
0.809,0.7382903332964235
0.803,0.7416122245598494
0.841,0.7442143727161997
0.846,0.7429409810652198
0.833,0.7406710220352121
0.828,0.7445465618425423
0.833,0.7499723175728048
0.816,0.743217805337172
0.829,0.7381796035876426
0.831,0.7442143727161997
0.827,0.7394529952386225
0.838,0.7371830362086148
0.825,0.7458753183479128
0.815,0.7471487099988927
0.806,0.7405049274720408
0.84,0.7341933340715314
